จำนวนหนี้สินเฉลี่ยต่อครัวเรือน จำแนกตามภาคและจังหวัด พ.ศ. 2541 - 2558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Debt Per Household by Region and Province: 1998 - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,บาท   Baht  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ภาค และจังหวัด,,2541,2543,2545,2547,2549,2550,2552,2554,2556,2558,Region and province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ภูเก็ต ,,"88,589  ","40,676  ","135,782  ","71,471  ","72,379  ","82,362  ","80,201  ","71,829  ","91,904  ","135,376  ",            Phuket ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        สุราษฎร์ธานี ,,"37,067  ","57,404  ","112,502  ","87,113  ","125,727  ","142,231  ","188,247  ","144,725  ","198,998  ","219,065  ",            Surat Thani ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ระนอง ,,"35,073  ","49,894  ","91,400  ","81,812  ","92,274  ","157,317  ","102,741  ","161,420  ","180,869  ","106,994  ",            Ranong ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ชุมพร ,,"80,471  ","98,332  ","87,802  ","90,195  ","116,327  ","127,313  ","124,643  ","130,164  ","197,459  ","199,746  ",            Chumphon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        สงขลา ,,"54,478  ","36,969  ","75,200  ","58,636  ","174,109  ","142,526  ","115,079  ","107,472  ","161,526  ","172,272  ",            Songkhla ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        สตูล ,,"19,845  ","72,649  ","56,518  ","82,046  ","69,314  ","116,896  ","183,123  ","101,355  ","155,314  ","145,458  ",            Satun ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ตรัง ,,"71,215  ","51,369  ","63,839  ","193,424  ","133,375  ","178,839  ","132,883  ","154,678  ","160,207  ","131,873  ",            Trang ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        พัทลุง ,,"66,378  ","92,554  ","80,867  ","89,967  ","117,631  ","129,637  ","140,417  ","169,819  ","162,249  ","206,986  ",            Phattalung ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ปัตตานี ,,"51,415  ","46,522  ","46,145  ","91,978  ","82,046  ","80,120  ","82,370  ","83,777  ","109,103  ","141,540  ",            Pattani ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ยะลา ,,"32,882  ","59,177  ","56,566  ","54,635  ","55,672  ","56,369  ","18,902  ","60,167  ","35,829  ","22,272  ",            Yala ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
